SupplyChainId,Category,SubCategory,ProductId,ProductName,Description,Price,Quantity,ShippingCost,DeliveryTime,SellerId,SellerName,SellerCountry,SellerRating,SellerFeedback,OrderNumber,OrderId,OrderStatus,OrderDate,CustomerId
141,Home Improvement,Running Shoes,120,Nike Pegasus,Keurig K-Cup Coffee Maker,99.99,2,7,2,168,Noah Doe,Indonesia,4.7,95,15,12346,Cancelled,########,358
131,Outdoors,Camping,116,Printer,Loreal True Match Foundation,90,3,10,1,159,Sophia Doe,India,4.9,95,1,12354,Shipped,########,356
128,Beauty,Phones,112,Printer,Optimum Nutrition Protein Powder,80,2,5,2,158,Sarah Doe,Italy,4.8,85,12,12356,Cancelled,########,349
133,Health,Athletic Wear,115,Monopoly,Keurig K-Cup Coffee Maker,45,4,10,2,165,Sarah Doe,India,4.7,95,8,12346,Cancelled,########,354
132,Shoes,Camping,120,Harry Potter,Keurig K-Cup Coffee Maker,2199,2,8,2,160,James Doe,US,4.9,98,18,12346,Cancelled,########,359
128,Grocery,Necklaces,113,Protein Powder,90 Degree By Reflex Yoga Pants,400,2,5,1,168,William Doe,Australia,4.9,90,20,12348,Returned,########,361
124,Beauty,Appliances,109,Yoga Pants,Keurig K-Cup Coffee Maker,11.99,2,8,1,163,Ava Doe,Australia,4.9,95,6,12351,Shipped,########,353
142,Automotive,Small Appliances,115,Tent,Cuisinart Belgian Waffle Maker,25,2,7,1,170,Sophia Doe,Canada,4.9,80,2,12364,Delivered,########,361
124,Appliances,Camping,118,Yoga Pants,Pepsi 12 Pack,11.99,4,6,3,166,Olivia Doe,US,4.9,90,6,12355,Shipped,########,361
133,Books,Televisions,104,Foundation,90 Degree By Reflex Yoga Pants,45,3,5,2,158,Tom Doe,US,4.9,90,7,12354,Cancelled,########,351
137,Shoes,Makeup,107,Tent,50 inch LED 4K Ultra HD TV,5.99,2,10,1,165,Tom Doe,Canada,4.9,98,19,12359,Cancelled,########,351
126,Books,Fiction,116,Harry Potter,Dewalt 18 Volt Drill,90,2,15,3,171,Mark Doe,Canada,4.9,75,5,12364,Returned,########,358
128,Games,Necklaces,120,Sofa,Coleman 4 Person Tent,100,1,15,3,162,James Doe,South Africa,4.7,85,15,12364,Shipped,########,346
127,Games,Parts,119,iPhone 11,HP Color LaserJet Printer,99.99,2,5,3,167,Tom Doe,Brazil,4.9,95,4,12359,Delivered,########,347
136,Home Improvement,Camping,104,Nike Pegasus,HP Color LaserJet Printer,5.99,4,7,2,171,Olivia Doe,South Africa,4.9,75,9,12361,Shipped,########,346
125,Outdoors,Televisions,103,Harry Potter,Dewalt 18 Volt Drill,100,2,8,3,166,Mark Doe,Israel,4.9,85,9,12361,Cancelled,########,351
138,Sports,Dolls,103,Protein Powder,Ashley Furniture Sofa,799,2,10,2,175,David Doe,Mexico,4.9,90,9,12355,Cancelled,########,352
133,Shoes,Appliances,111,Coffee Maker,90 Degree By Reflex Yoga Pants,120,4,8,1,157,James Doe,Indonesia,4.9,95,18,12362,Delivered,########,349
126,Shoes,Appliances,112,Monopoly,Keurig K-Cup Coffee Maker,2199,1,5,1,166,James Doe,China,4.9,85,1,12345,Delivered,########,347
139,Toys,Dolls,119,Tires,Cuisinart Belgian Waffle Maker,35,3,6,2,164,Tom Doe,UK,4.8,90,15,12353,Cancelled,########,348
129,Toys,Makeup,103,Tires,Pepsi 12 Pack,50,2,5,2,164,Elizabeth Doe,Russia,4.9,75,16,12349,Cancelled,########,360
136,Furniture,Bottoms,105,Sofa,Cuisinart Belgian Waffle Maker,19.99,2,6,2,171,Sarah Doe,Mexico,4.9,75,15,12346,Delivered,########,361
130,Books,Running Shoes,113,Yoga Pants,Barbie Dreamhouse Playset,50,1,5,3,160,James Doe,Japan,4.9,98,15,12354,Returned,########,348
128,Toys,Board Games,111,Nike Pegasus,50 inch LED 4K Ultra HD TV,5.99,1,5,1,175,Olivia Doe,Australia,4.9,98,13,12352,Cancelled,########,361
126,Toys,Tools,119,Nike Pegasus,Barbie Dreamhouse Playset,15,1,6,1,158,Sarah Doe,France,4.7,90,4,12357,Delivered,########,359
132,Appliances,Televisions,119,Tires,Nike Pegasus 36 Running Shoes,150,3,10,2,161,Mia Doe,South Africa,4.9,85,6,12354,Cancelled,########,363
134,Clothing,Necklaces,120,Spiderman,Nike Pegasus 36 Running Shoes,599,1,5,2,175,Noah Doe,South Africa,4.9,90,8,12362,Returned,########,361
131,Furniture,Tools,103,iPhone 11,90 Degree By Reflex Yoga Pants,400,2,5,3,160,Sarah Doe,Australia,4.9,75,13,12352,Returned,########,352
127,Sports,Televisions,120,Printer,90 Degree By Reflex Yoga Pants,400,1,5,1,168,Noah Doe,China,4.9,85,16,12358,Delivered,########,349
